sim_swap_time_gap_minutes,device_change_flag,sim_type_change_flag,imsi_change_flag,iccid_change_flag,otp_and_sim_change_geo_hash_length,recent_sim_activation_days,num_sim_changes_last_30d,previous_sim_holder_tenure_days,account_age_days,ip_change_flag,sim_swap_flag
9205,0,0,0,0,0.4,154,4,307,1811,0,0
6889,1,1,1,0,0.85,83,5,887,279,0,1
1310,0,1,1,0,0.45,331,0,338,1496,1,1
1979,1,0,1,0,0.13,11,1,424,576,0,1
3671,0,0,1,1,0.28,25,1,193,987,1,1
5022,0,0,1,0,0.27,315,1,951,1660,1,0
8749,0,1,1,1,0.58,289,0,568,70,0,1
1514,0,1,1,1,0.39,138,1,906,940,0,1
8368,1,0,1,0,0.97,228,3,345,1793,0,1
8643,0,1,1,1,0.44,157,1,1001,105,0,1
4232,1,1,1,1,0.41,191,5,557,1541,1,1
3261,1,0,0,1,0.45,75,0,945,168,1,1
6714,1,1,0,1,0.4,108,4,46,593,1,1
5193,1,0,1,0,0.4,232,2,290,1015,1,1
1201,0,0,1,0,0.97,107,0,47,1612,0,0
7435,0,0,0,1,0.03,2,0,1038,640,0,0
8601,1,0,1,1,0.78,169,0,489,744,0,1
1934,1,1,1,1,0.07,207,0,134,1382,0,1
4387,0,0,0,0,0.34,68,0,8,401,1,0
5146,0,1,0,0,0.8,196,0,1087,1009,0,0
1498,0,1,0,0,0.67,242,0,867,1591,1,0
3523,0,0,0,0,0.25,180,4,645,12,0,0
6220,1,0,0,1,0.02,296,2,361,1450,1,1
5716,0,0,0,0,0.63,158,3,411,476,0,0
9409,0,1,0,1,0.43,144,1,1083,1781,0,1
7839,0,1,1,1,0.07,129,0,513,384,1,1
9539,0,1,0,0,0.5,85,0,993,1822,0,0
6223,1,1,1,0,0.94,350,5,349,950,1,1
6002,1,0,0,0,0.72,298,3,203,764,1,0
3872,0,1,1,0,0.54,106,5,1078,1472,0,1
3840,0,1,1,1,0.29,79,4,646,1275,0,1
5936,1,0,1,1,0.14,242,1,289,1523,1,1
7686,0,1,1,1,0.42,20,4,691,1082,1,1
2802,0,0,0,0,0.08,47,2,1079,177,0,0
1941,1,0,0,0,0.75,333,4,680,971,1,1
1514,1,1,1,0,0.47,14,1,554,369,1,1
7232,1,0,1,1,0.45,3,4,979,61,1,1
3064,0,1,1,0,0.26,209,2,614,1199,1,1
695,1,1,0,0,0.35,141,5,85,565,0,1
6492,0,1,0,0,0.92,12,5,521,750,1,0
3298,1,0,1,1,0.03,321,1,748,330,0,1
6366,0,0,0,1,0.4,314,0,100,890,0,0
9032,0,0,0,1,0.7,102,5,131,1010,0,0
8739,1,0,1,1,0.82,289,3,414,528,0,1
6273,0,0,1,1,0.15,73,0,821,160,0,1
2370,0,0,1,1,0.34,160,3,345,1726,1,1
8060,1,1,1,1,0.03,35,0,202,884,1,1
5947,1,0,0,0,0.83,176,0,258,1382,1,0
5787,0,1,0,1,0.75,41,4,827,1208,0,1
7365,1,1,0,0,0.4,297,0,428,1083,0,1
6211,1,1,0,1,0.49,134,2,994,989,1,1
1328,0,1,1,0,0.31,150,0,1084,374,0,1
6486,1,0,0,1,0.08,33,0,478,601,0,1
8373,0,0,1,1,0.22,99,0,1017,1145,0,1
5726,1,1,0,1,0.37,294,4,374,1143,0,1
8276,1,1,0,1,0.1,144,5,906,1679,1,1
4110,0,1,0,0,0.18,191,3,403,447,1,1
1170,0,1,0,0,0.0,21,5,1048,693,1,1
5147,1,0,0,1,0.09,163,3,389,447,0,1
8574,1,0,0,1,0.17,316,1,697,447,1,1
2641,1,0,0,0,0.92,168,1,140,1284,0,0
88,0,0,0,1,0.35,199,2,652,726,0,1
9192,1,0,1,1,0.28,135,1,171,883,0,1
1579,1,1,0,1,0.44,105,5,358,1769,1,1
796,0,0,0,0,0.3,129,4,105,1753,0,0
266,0,0,1,1,0.98,216,0,985,694,0,1
9230,1,1,0,0,0.77,181,2,973,1649,1,1
9414,1,0,0,0,0.01,182,1,813,649,1,0
5911,1,0,0,0,0.92,307,1,160,1033,0,0
8784,1,0,1,1,0.78,126,4,132,447,0,1
5297,1,0,0,0,0.04,233,1,874,883,0,0
991,1,0,1,1,0.34,281,0,100,1048,1,1
3201,0,1,1,0,0.35,343,2,920,761,1,1
6527,0,1,0,0,0.2,178,5,248,192,0,0
10078,1,0,1,0,0.68,357,2,436,1599,0,1
6516,0,1,0,0,0.34,166,4,910,389,0,0
3010,0,0,0,0,0.36,294,2,441,842,1,0
5306,0,1,1,0,0.83,69,3,350,1393,1,1
7050,0,0,1,0,0.09,247,1,301,1086,1,0
814,0,0,0,1,0.15,218,2,28,277,1,1
3270,0,1,0,1,0.89,8,2,1062,255,0,1
4923,1,1,0,1,0.78,212,4,743,1508,0,1
17,0,0,1,1,0.93,224,4,222,1117,0,1
6745,1,1,0,0,0.93,218,4,513,952,0,1
2579,1,0,0,0,0.58,212,0,782,1012,0,0
9191,0,1,0,1,0.81,363,3,811,166,1,1
3881,0,1,0,0,0.13,58,2,604,1337,0,0
496,1,1,0,1,0.95,167,1,187,443,1,1
1026,0,1,0,1,0.81,122,0,926,1797,0,1
2957,1,1,1,1,0.66,337,4,812,376,0,1
3286,0,1,1,1,0.85,121,3,916,1268,0,1
2340,1,0,0,1,0.41,365,5,232,1384,1,1
3745,0,1,1,1,0.49,121,3,950,1058,0,1
5469,0,1,1,1,0.44,344,2,249,1368,1,1
2818,1,0,1,0,0.62,107,5,321,1475,1,1
8556,0,0,1,1,0.46,84,0,333,1798,0,1
3839,1,1,0,1,0.77,73,3,77,445,0,1
3434,1,1,0,1,0.48,65,5,1091,357,1,1
2986,1,0,0,0,0.96,224,0,422,622,0,0
2427,0,0,1,0,0.43,102,5,590,906,1,1
9197,0,1,0,0,0.0,239,3,786,1343,1,1
9799,0,0,1,1,0.34,80,1,185,834,1,1
9405,1,0,1,1,1.0,171,0,921,1284,0,1
1702,0,1,0,1,0.44,338,1,937,877,1,1
10018,0,0,1,0,0.11,290,3,181,1010,1,0
8770,1,0,1,0,0.34,364,1,102,178,0,1
2915,1,0,1,0,0.56,273,1,937,878,1,1
3324,0,1,1,1,0.62,256,5,490,375,0,1
1099,0,0,1,1,0.63,110,5,151,470,1,1
4223,0,0,0,1,0.94,79,4,87,1211,0,0
6469,1,1,0,0,0.34,22,2,52,924,0,1
10027,0,0,1,0,0.23,218,3,710,92,0,0
1728,0,0,1,0,0.69,363,4,189,1489,0,0
963,0,1,0,0,0.96,79,1,756,1805,1,0
8566,0,0,1,1,0.92,188,1,218,1112,0,0
9594,0,0,1,0,0.97,227,0,45,924,1,0
1895,1,1,1,0,0.67,342,2,257,1528,1,1
436,0,0,1,0,0.3,260,2,1040,998,0,1
1089,1,0,0,1,0.72,15,5,848,1728,0,1
3287,0,0,0,0,0.8,364,2,40,138,1,0
9829,0,1,0,1,0.07,54,2,393,1651,1,1
5839,1,0,1,1,0.5,238,1,614,612,0,1
2815,1,1,1,1,0.32,70,3,52,645,0,1
6899,0,0,0,0,0.38,263,2,13,51,0,0
7277,0,1,0,0,0.04,61,3,722,127,1,1
7198,1,1,0,1,0.29,214,2,427,1573,1,1
2103,0,0,0,1,0.46,246,2,192,910,0,0
662,0,0,1,1,0.41,118,1,632,388,0,1
5165,0,0,1,0,0.64,125,0,50,556,0,0
4857,1,0,0,1,0.76,302,5,289,1201,1,1
8364,1,0,0,1,0.63,221,1,426,69,0,1
8645,1,0,1,1,0.82,271,0,194,1600,1,1
4528,1,0,1,0,0.83,345,3,130,677,1,1
4882,1,1,0,1,0.79,34,4,49,662,0,1
4428,1,0,1,0,0.56,262,3,12,504,0,1
2554,1,0,0,0,0.38,187,3,579,103,1,1
5140,0,0,1,0,0.83,30,4,581,908,0,0
8285,0,1,0,1,0.77,284,4,505,249,1,1
8815,1,0,1,0,0.56,92,4,469,1505,1,1
7104,0,0,0,0,0.41,89,5,262,641,1,0
1624,0,1,1,1,0.35,117,1,480,544,1,1
7249,1,1,1,1,0.01,15,1,867,461,0,1
4581,0,1,0,1,0.95,10,1,366,1587,1,1
4817,1,1,0,1,0.55,333,1,694,1495,1,1
2411,1,1,1,1,0.09,20,2,402,236,0,1
5142,1,0,1,1,0.12,32,2,819,995,0,1
5750,1,1,0,0,0.02,77,5,550,1568,1,1
5516,1,1,0,1,0.57,33,3,289,719,0,1
5344,0,1,1,1,0.14,46,2,661,1598,0,1
4318,1,0,0,1,0.44,115,1,364,327,0,1
8011,0,1,0,0,0.62,262,1,182,856,0,0
3696,0,1,0,1,0.94,218,5,192,1091,0,1
8203,0,0,0,1,0.77,31,5,404,334,0,0
5515,1,0,0,0,0.68,66,4,46,1753,0,0
5267,0,1,0,1,0.29,142,0,1009,845,1,1
6713,0,0,0,1,0.48,114,4,1007,815,0,0
5822,0,0,1,0,0.51,362,4,379,955,0,0
1099,0,0,1,0,0.81,334,3,651,1167,0,0
1805,0,1,0,1,0.73,57,4,568,1770,0,1
9739,1,1,1,1,0.33,231,5,203,259,1,1
4846,0,0,0,1,0.46,34,2,555,1757,1,1
3007,0,1,0,0,0.29,81,4,248,1763,0,0
7680,0,0,0,0,0.88,277,4,659,1472,0,0
8651,1,0,0,1,0.39,58,4,847,1125,1,1
729,1,0,1,0,0.21,28,0,963,1316,0,1
4018,0,1,1,1,0.59,10,0,97,201,1,1
8230,1,1,1,0,0.02,202,4,699,706,0,1
9011,0,1,1,0,0.22,111,3,199,510,0,1
2453,1,1,0,0,0.86,86,5,137,1613,1,1
2629,1,1,0,1,0.2,285,4,328,960,0,1
9598,0,0,0,1,0.66,51,3,431,1265,1,0
144,1,1,1,1,0.42,170,2,297,1440,0,1
2999,0,0,0,0,0.64,145,1,14,1210,0,0
5877,1,0,1,1,0.36,88,2,410,817,1,1
328,0,0,0,1,0.99,347,0,13,1711,1,0
10040,1,0,1,1,0.72,227,1,792,887,1,1
322,0,0,1,0,0.66,131,5,541,596,0,0
8769,1,0,1,1,0.67,336,1,198,1734,1,1
8786,1,0,0,1,0.03,173,5,989,33,1,1
517,1,1,0,0,0.1,37,3,471,1723,0,1
7349,1,0,1,1,0.61,240,0,254,751,1,1
4795,0,0,1,1,0.46,274,5,687,792,1,1
7983,0,1,0,0,0.06,15,3,42,918,1,1
9795,0,0,0,0,0.07,336,0,14,21,0,0
6243,1,1,0,0,0.7,302,4,349,1191,1,1
5354,1,0,0,1,0.65,229,5,797,1578,0,1
5203,0,1,0,1,0.14,242,2,1067,423,1,1
3864,0,1,0,1,0.87,176,4,733,432,1,1
9476,0,0,1,0,0.13,109,1,358,52,1,0
5657,1,0,1,0,0.05,137,0,648,1473,0,1
3224,0,0,1,0,0.89,248,4,188,1472,1,0
6355,0,0,1,0,0.95,8,4,817,1318,0,0
5131,0,1,0,0,0.92,19,4,309,238,0,0
9429,1,1,0,0,0.05,319,4,763,895,1,1
2850,1,0,0,1,0.09,269,2,739,1736,1,1
9241,0,1,1,1,0.41,119,3,608,684,1,1
4609,0,1,1,0,0.9,134,1,387,1300,0,1
1685,0,1,0,1,0.85,351,2,657,250,1,1
5946,0,0,1,1,0.17,185,1,941,264,1,1
1614,1,0,1,1,0.36,8,4,750,1539,0,1
1163,1,0,1,1,0.44,102,3,863,1376,0,1
5305,0,0,1,0,0.54,150,5,287,127,1,0
7945,0,0,1,0,0.86,26,2,448,714,1,0
1888,1,0,0,1,0.78,74,5,321,1136,0,1
4113,1,0,1,1,0.31,83,5,1003,932,0,1
6213,0,0,1,0,0.87,174,1,35,1632,1,0
6200,0,0,0,1,0.71,84,2,298,958,0,0
4246,1,1,0,1,0.67,19,5,452,1048,0,1
1626,0,0,0,0,0.54,346,1,929,741,0,0
2328,1,0,0,1,0.45,194,5,555,361,1,1
4740,1,0,1,0,0.23,169,5,481,35,1,1
8160,0,0,1,1,0.48,309,0,320,747,1,1
3050,1,0,1,0,0.47,12,0,756,1558,1,1
1606,0,0,0,0,0.02,286,3,950,444,1,0
9162,1,1,1,1,0.27,55,4,1069,1585,1,1
7664,1,0,1,1,0.73,356,3,773,1541,1,1
444,1,0,1,1,0.49,78,4,349,773,1,1
2466,0,0,1,0,0.9,356,1,1036,1769,1,0
5168,0,1,0,0,0.75,62,1,767,258,1,0
